EN,RUS,TH,TH 2244/2828 (79.35%)
I call him Benjamin.,Я зову его Бенджамин.,หนูเรียกเขาว่าเบนจามิน,
"So, before we continue, you need to know the rules of the game, Misfortune.","Итак, прежде чем мы продолжим, тебе стоит узнать правила игры, Неудача.",เอาล่ะ ก่อนที่เราจะไปกันต่อ เธอต้องรู้กติกาของเกมนี้ก่อนนะ ยัยตัวซวย,
Alright!,Хорошо!,ได้เลย!,
"Remember, you will be given choices on your journey.","Запомни, во время своего путешествия ты сможешь выбирать.",จำไว้ว่า เธอจะต้องตัดสินใจเลือกสิ่งต่างๆ ตลอดการเดินทาง,
I'm ready!,Я готова!,หนูพร้อมแล้ว!,
Your next mission is to cross this road...,Твоё следующее задание - пересечь эту дорогу...,ภารกิจต่อไปก็คือ การข้ามถนนนี่...,
"Alright, I can do that!","Хорошо, это я могу!",ได้เลย หนูทำได้!,
"There is no right or wrong, only consequences.","Нет таких понятий, как ""хорошо"" или ""плохо"", есть только последствия.",มันไม่มีคำว่าถูกหรือผิด มีเพียงแค่ผลที่ตามมา,
"Ok, choices...","Ага, выбирать...",โอเค ต้องเลือกนะ...,
"Ok, ok, only consequences.","Хорошо, хорошо, только последствия.",โอเค โอเค มีแค่ผลที่ตามมา,
"When you beat the game, the prize of Eternal Happiness is yours!","Когда ты пройдёшь игру, приз, Вечное Счастье - твой!",เมื่อเธอเอาชนะเกมได้ เธอจะได้รางวัลเป็นความสุขนิรันดร์!,
"Look to the left, look to the right. Any cars? No.","Посмотреть налево, посмотреть направо. Есть машины? Нет.",มองซ้าย มองขวา มีรถมั้ย? ไม่มี,
Ok... I'm going...,Ладно... Я пошла...,โอเค... ไปละนะ...,
NewMorgo,NewMorgo,NewMorgo,
Dead bird sparkle,,ประกายนกตาย,
Pool,,สระน้ำ,
Pet kitty,,เจ้าเหมียวสัตว์เลี้ยง,
MORGO,,มอร์โก,
Dead bird,Dead bird,นกตาย,
Car,,รถ,
Cat,,แมว,
"I'm sorry I broke you puppy, I really am...","Прости, что сломала тебя, пёсик, мне очень жаль...",หนูขอโทษนะที่ทำเธอตายเลยเจ้าหมาน้อย ขอโทษจริงๆ...,
"Maybe we can play later, you know? When I'm broken too.",Может мы поиграем позже? Когда я тоже сломаюсь.,ไว้วันหลังเรามาเล่นด้วยกันอีกมั้ย? ตอนที่ฉันตายแล้วเหมือนกัน,
"Well, sadly the puppy will miss the party now...","Конечно, печально, что теперь пёсик пропустит вечеринку...",เอ่อ แย่หน่อยที่เจ้าหมาคงไม่ได้ไปงานปาร์ตี้แล้ว...,
What party? \x0D,Какую вечеринку?\x0A,ปาร์ตี้หรอ? \x0D,
"The owner of this dog, George, is having a party.","Хозяин этой собаки, Джордж, устраивает вечеринку.",เจ้าของหมาตัวนี้ เขาชื่อจอร์จ กำลังจัดงานปาร์ตี้อยู่,
I think you have to go and tell him about the accident...,"Думаю, ты должна пойти и рассказать ему о несчастном случае...",ฉันคิดว่าเธอคงต้องไปบอกเขาเรื่องอุบัติเหตุนี้นะ...,
Puppy!,Пёсик!,เจ้าหมา!,
What accident?,О каком несчастном случае?,อุบัติเหตุอะไรกัน?,
"Ah, yes, the puppy, yes.","Ах, да, пёсик, да.",อ๋อ เจ้าหมานี่ จริงด้วย,
What did I do? It's all broken now...,Что я наделала? Он сломался...,หนูทำอะไรลงไป? มันตายแล้วเนี่ย...,
"Mr. Voice? Everything I touch breaks, what's wrong with me?","Мистер Голос? Все, чего я касаюсь, ломается, что со мной не так?",คุณวอยซ์? หนูหยิบจับอะไรก็แตกหักพังเสียไปหมด เกิดอะไรขึ้นกับหนู?,
"There's nothing wrong with you, sometimes life is just unfair.","С тобой все в порядке, просто порой жизнь несправедлива.",หนูไม่มีอะไรผิดปกติหรอก บางทีชีวิตก็ไม่ยุติธรรมแบบนี้แหละ,
But I'm here for you.,Но я с тобой.,แต่ฉันจะอยู่เป็นเพื่อนเธอเอง,
Really? Thank you.,Правда? Спасибо.,จริงหรอ? ขอบคุณนะ,
"Let’s go, it’s just a bit farther ahead.","Пойдём, осталось пройти совсем немного.",ไปกันเถอะ อยู่ข้างหน้าอีกไม่ไกลเอง,
Alright.,Хорошо.,โอเค,
Oh no! I stepped on doggy doo... uuhhh... ayyyhh...,О нет! Я наступила на собачьи... уухх... айыых...,ไม่นะ! หนูเหยียบอึ๊หมา... อุบบ... แหยะ...,
*vomits*,*тошнит*,*อาเจียน*,
